Column1,Column2,Column3,Column4
2688.000278,LWDevGenServer,Offshift,0
2692.000278,LW1GenServer,Busy,0
2692.000278,LW2GenServer,Busy,0
2692.000278,LWDevGenServer,Busy,0
2696.000278,LW1GenServer,Offshift,0
2696.000278,LW2GenServer,Offshift,0
2696.000278,LWDevGenServer,Offshift,0
2700.000278,LW1GenServer,Busy,0
2700.000278,LW2GenServer,Busy,0
2700.000278,LWDevGenServer,Busy,0
2704.000278,LW1GenServer,Offshift,0
2704.000278,LW2GenServer,Offshift,0
2704.000278,LWDevGenServer,Offshift,0
2708.000278,LW1GenServer,Busy,0
2708.000278,LW2GenServer,Busy,0
2708.000278,LWDevGenServer,Busy,0
2712.000278,LW1GenServer,Offshift,0
2712.000278,LW2GenServer,Offshift,0
2712.000278,LWDevGenServer,Offshift,0
2716.000278,LW1GenServer,Busy,0
2716.000278,LW2GenServer,Busy,0
2716.000278,LWDevGenServer,Busy,0
2720.000278,LW1GenServer,Offshift,0
2720.000278,LW2GenServer,Offshift,0
2720.000278,LWDevGenServer,Offshift,0
2724.000278,LW1GenServer,Busy,0
2724.000278,LW2GenServer,Busy,0
2724.000278,LWDevGenServer,Busy,0
2728.000278,LW1GenServer,Offshift,0
2728.000278,LW2GenServer,Offshift,0
2728.000278,LWDevGenServer,Offshift,0
2732.000278,LW1GenServer,Busy,0
2732.000278,LW2GenServer,Busy,0
2732.000278,LWDevGenServer,Busy,0
2736.000278,LW1GenServer,Offshift,0
2736.000278,LW2GenServer,Offshift,0
2736.000278,LWDevGenServer,Offshift,0
2740.000278,LW1GenServer,Busy,0
2740.000278,LW2GenServer,Busy,0
2740.000278,LWDevGenServer,Busy,0
2744.000278,LW1GenServer,Offshift,0
2744.000278,LW2GenServer,Offshift,0
2744.000278,LWDevGenServer,Offshift,0
2748.000278,LW1GenServer,Busy,0
2748.000278,LW2GenServer,Busy,0
2748.000278,LWDevGenServer,Busy,0
2752.000278,LW1GenServer,Offshift,0
2752.000278,LW2GenServer,Offshift,0
2752.000278,LWDevGenServer,Offshift,0
2755.64734,CPPWorkSchedule,FailedBusy,1
2756.000278,LW1GenServer,Busy,0
2756.000278,LW2GenServer,Busy,0
2756.000278,LWDevGenServer,Busy,0
2760.000278,LW1GenServer,Offshift,0
2760.000278,LW2GenServer,Offshift,0
2760.000278,LWDevGenServer,Offshift,0
2761.538244,TrainLoadStation,Failed,0
2762.334419,TrainLoadStation,Busy,0
2763.012048,CPPWorkSchedule,Busy,0
2764.000278,LW1GenServer,Busy,0
2764.000278,LW2GenServer,Busy,0
2764.000278,LWDevGenServer,Busy,0
2768.000278,LW1GenServer,Offshift,0
2768.000278,LW2GenServer,Offshift,0
2768.000278,LWDevGenServer,Offshift,0
2772.000278,LW1GenServer,Busy,0
2772.000278,LW2GenServer,Busy,0
2772.000278,LWDevGenServer,Busy,0
2776.000278,LW1GenServer,Offshift,0
2776.000278,LW2GenServer,Offshift,0
2776.000278,LWDevGenServer,Offshift,0
2780.000278,LW1GenServer,Busy,0
2780.000278,LW2GenServer,Busy,0
2780.000278,LWDevGenServer,Busy,0
2784.000278,LW1GenServer,Offshift,0
2784.000278,LW2GenServer,Offshift,0
2784.000278,LWDevGenServer,Offshift,0
2788.000278,LW1GenServer,Busy,0
2788.000278,LW2GenServer,Busy,0
2788.000278,LWDevGenServer,Busy,0
2792.000278,LW1GenServer,Offshift,0
2792.000278,LW2GenServer,Offshift,0
2792.000278,LWDevGenServer,Offshift,0
2796.000278,LW1GenServer,Busy,0
2796.000278,LW2GenServer,Busy,0
2796.000278,LWDevGenServer,Busy,0
2800.000278,LW1GenServer,Offshift,0
2800.000278,LW2GenServer,Offshift,0
2800.000278,LWDevGenServer,Offshift,0
2804.000278,LW1GenServer,Busy,0
2804.000278,LW2GenServer,Busy,0
2804.000278,LWDevGenServer,Busy,0
2808.000278,LW1GenServer,Offshift,0
2808.000278,LW2GenServer,Offshift,0
2808.000278,LWDevGenServer,Offshift,0
2812.000278,LW1GenServer,Busy,0
2812.000278,LW2GenServer,Busy,0
2812.000278,LWDevGenServer,Busy,0
2816.000278,LW1GenServer,Offshift,0
2816.000278,LW2GenServer,Offshift,0
2816.000278,LWDevGenServer,Offshift,0
2820.000278,LW1GenServer,Busy,0
2820.000278,LW2GenServer,Busy,0
2820.000278,LWDevGenServer,Busy,0
2820.08817,CPPWorkSchedule,FailedBusy,1
2824.000278,LW1GenServer,Offshift,0
2824.000278,LW2GenServer,Offshift,0
2824.000278,LWDevGenServer,Offshift,0
2828.000278,LW1GenServer,Busy,0
2828.000278,LW2GenServer,Busy,0
2828.000278,LWDevGenServer,Busy,0
2832.000278,LW1GenServer,Offshift,0
2832.000278,LW2GenServer,Offshift,0
2832.000278,LWDevGenServer,Offshift,0
2832.205032,CPPWorkSchedule,Busy,0
2836.000278,LW1GenServer,Busy,0
2836.000278,LW2GenServer,Busy,0
2836.000278,LWDevGenServer,Busy,0
